id,rc_reg_crse_insttn,rc_regcrs_deparmnt_crm,rc_crse_title,rc_crse_numbr,rc_crse_cdt_lvl,rc_crse_cdt_hrs,rc_cnthrs_editn,rc_cnthrs_strt_dat,rc_cnthrs_end_dat,rc_cnthrs_strt_yr,rc_cnthrs_end_yr,rc_cnthrs_strt_sem,rc_cnthrs_end_sem,rc_cnthrs_strt_qurtr,rc_cntnthrs_end_qtr,data_discrpncy_final_dta,rc_final_data_course_name,rc_rgsd_numbr,rc_rgs_typ_fnl,third_edition_cr_number,alterations,rc_cntnt_alloc_a1,rc_cnt_alloc_b1,rc_cntn_alloc_type_c1,rc_cnt_alloc_c2,rc_cntn_alloc_type_d1,rc_cntn_alloc_type_d2,rc_cntn_alloc_type_d3,rc_cntn_alloc_type_d4,rc_cntn_alloc_type_d5v,rc_cntn_alloc_type_e1,rc_cntn_alloc_type_5av,rc_cntn_alloc_type_5d,rc_cntn_alloc_type_5g,rc_cntn_alloc_type_5h,rc_cntn_alloc_type_5e,rc_cntn_alloc_type_5b,rc_cntn_alloc_type_5c,rc_cntn_alloc_type_5f
7283b1cc-cb0e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Principles of Behavior Analysis in Special Education,EDSP 686,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,,,45,,,,,
36ae10dc-cd0e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Behavioral Systems in Education,EDSP 687,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,,,,,,,12,18
531776e4-cf0e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Teaching Students with Intellectual Disabilities,EDSP 667,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,,,,,,,30,6
bfd59d29-d70e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Ethics in Special Education and Behavior Analysis,EDSP 728,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,45,,,,,,,
1d71d130-d80e-e911-8106-000c29a8e632 Fifth Edition,Western Connecticut State University,Education,Ethics and Professional Issues,EPY 660,Graduate,3,Fifth Edition,,,,,,,,,,51003 BCBA,51003, BCBA,,,,,,,,,,,,,45,,,,,,,
ea2fb414-d90e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Advanced Behavior Management in Severe Disabilities,EDSP 721,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,,,,,,15,24,6
53132e1c-d80e-e911-8106-000c29a8e632 Fifth Edition,Western Connecticut State University,Education,Methods and Measurement in Applied Behavior Analysis,EPY 659,Graduate,4,Fifth Edition,,,,,,,,,,51003 BCBA,51003, BCBA,,,,,,,,,,,,,,,,,60,,,
0ff52807-d80e-e911-8106-000c29a8e632 Fifth Edition,Western Connecticut State University,Education,Advanced Concepts and Principles of Behavior Analysis,EPY 658,Graduate,4,Fifth Edition,,,,,,,,,,51003 BCBA,51003, BCBA,,,,,,,,,,,,,,45,,,,,,15
7bd933a4-da0e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Assessment of Individuals with Severe Disabilities,EDSP 719,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,3,,,,,42,,
c866238d-c60e-e911-8106-000c29a8e632 Fifth Edition,Western Connecticut State University,Education,Behavior Assessment,EPY 656,Graduate,4,Fifth Edition,,,,,,,,,,51003 BCBA,51003, BCBA,,,,,,,,,,,,,,,,,,45,,15
80d19d9c-d70e-e911-8106-000c29a8e632 Fifth Edition,Western Connecticut State University,Education,Behavior Change Procedures,EPY 657,Graduate,4,Fifth Edition,,,,,,,,,,51003 BCBA,51003, BCBA,,,,,,,,,,,,,,,,,,,60,
7794a3ec-dd0e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Special  Topics in Advanced Educational Measurement and Statistics - Single - Case Design & Analysis,EDRS 771,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,,,,,45,,,
95251a3a-e00e-e911-8106-000c29a8e632 Fifth Edition,University of Nevada Reno,Education,Philosophical Foundations of Behavior Analysis in Education,EDSP 727,Graduate,3,Fifth Edition,,,,,,,,,,51001 BCBA,51001, BCBA,,,,,,,,,,,,,,45,,,,,,
117c991f-890f-e911-8106-000c29a8e632 Fifth Edition 8/26/2019 4:00:00 AM,University of North Texas,Behavior Analysis,Meaningful Assessment in Applied Behavior Analysis,BEHV 5612,Graduate,3,Fifth Edition,8/26/2019,,,,,,,,,51002 BCBA,51002, BCBA,,,,,,,,,,,,,,,,,,45,,
96fd85f5-890f-e911-8106-000c29a8e632 Fifth Edition 8/26/2019 4:00:00 AM,University of North Texas,Behavior Analysis,Culturally Responsive Ethics in Behavioral Practice,BEHV 5613,Graduate,3,Fifth Edition,8/26/2019,12/5/2019,,,,,,,,51002 BCBA,51002, BCBA,,,,,,,,,,,,,45,,,,,,,
9c4531ee-910f-e911-8106-000c29a8e632 Fifth Edition 1/13/2020 5:00:00 AM,University of North Texas,Behavior Analysis,"ABA Foundations, Concepts, and Principles 2",BEHV 5618,Graduate,3,Fifth Edition,1/13/2020,,,,,,,,,51002 BCBA,51002, BCBA,,{Term:Spring}{Year:2020},,,,,,,,,,,,,45,,,,,
6e641d39-950f-e911-8106-000c29a8e632 Fifth Edition 1/13/2020 5:00:00 AM,University of North Texas,Behavior Analysis,Fundamentals and Techniques of Compassionate and Effective Behavior Change,BEHV 5619,Graduate,3,Fifth Edition,1/13/2020,,,,,,,,,51002 BCBA,51002, BCBA,,,,,,,,,,,,,,,,,,,45,
42cad2de-980f-e911-8106-000c29a8e632 Fifth Edition 1/13/2020 5:00:00 AM,University of North Texas,Behavior Analysis,Evidence-Based Practice: Understanding and Applying Applied Behavior Analytic Research,BEHV 5622,Graduate,3,Fifth Edition,1/13/2020,,,,,,,,,51002 BCBA,51002, BCBA,,,,,,,,,,,,,,,,,45,,,
81ab0e12-9b0f-e911-8106-000c29a8e632 Fifth Edition 1/13/2020 5:00:00 AM,University of North Texas,Behavior Analysis,Behavioral Practice in Autism,BEHV 5627,Graduate,3,Fifth Edition,1/13/2020,,,,,,,,,51002 BCBA,51002, BCBA,,,,,,,,,,,,,,,,,,,45,
6dd3967e-9d0f-e911-8106-000c29a8e632 Fifth Edition 5/11/2020 4:00:00 AM,University of North Texas,Behavior Analysis,Improving Staff Performance in Behavioral Practice,BEHV 5634,Graduate,3,Fifth Edition,5/11/2020,,,,,,,,,51002 BCBA,51002, BCBA,,,,,,,,,,,,,,,,,,,,45
c29f88a8-de0e-e911-8106-000c29a8e632 Fifth Edition,Western Connecticut State University,Education,Introduction to Concepts and Principles of Behavior Analysis,EPY 655,Graduate,3,Fifth Edition,,,,,,,,,,51003 BCBA,51003, BCBA,,,,,,,,,,,,,,,45,,,,,
01fab06e-af15-e911-8106-000c29a8e632 Fifth Edition 8/22/2020 4:00:00 AM,University of Utah,Special Education,Principles of Instruction and Behavior Support,SPED 6022,Graduate,3,Fifth Edition,8/22/2020,,,,,,,,,4260 BCBA,4260, BCBA,,,,,,,,,,,,,,,45,,,,,
0cf2dca3-b015-e911-8106-000c29a8e632 Fifth Edition 8/22/2020 4:00:00 AM,University of Utah,Special Education,Behavioral Support Strategies for Students with Mild/Moderate Disabilities,SPED 6110,Graduate,3,Fifth Edition,8/22/2020,,,,,,,,,4260 BCBA,4260, BCBA,,{Title:[FALL 2021] Behavioral Support Strategies for Students with Mild/Moderate Disabilities},,,,,,,,,,,,,10,,,15,20,
7985c278-b115-e911-8106-000c29a8e632 Fifth Edition 8/22/2020 4:00:00 AM,University of Utah,Special Education,Behavioral Support Strategies for Students with Severe Disabilities,SPED 6230,Graduate,3,Fifth Edition,8/22/2020,,,,,,,,,4260 BCBA,4260, BCBA,,,,,,,,,,,,,,,10,,,15,20,
2d6ddb01-b215-e911-8106-000c29a8e632 Fifth Edition 6/1/2021 4:00:00 AM,University of Utah,Special Education,Autism Spectrum Disorder Interventions,ED PS 6620/7620,Graduate,3,Fifth Edition,6/1/2021,,,,,,,,,4260 BCBA,4260, BCBA,,{Number:ED PS 6620}{Number:7620},,,,,,,,,,,,,10,,,15,20,
b576fd06-b415-e911-8106-000c29a8e632 Fifth Edition 1/6/2021 5:00:00 AM,University of Utah,Special Education,Ethics and Professional Conduct for Behavior Analysts,SPED 6850,Graduate,3,Fifth Edition,1/6/2021,,,,,,,,,4260 BCBA,4260, BCBA,,,,,,,,,,,,,45,,,,,,,
6d67a9f2-b415-e911-8106-000c29a8e632 Fifth Edition 8/22/2020 4:00:00 AM,University of Utah,Special Education,Consultation and Supervision in Applied Settings,EP 6470/7470,Graduate,3,Fifth Edition,8/22/2020,,,,,,,,,4260 BCBA,4260, BCBA,,{Number:EP 6470}{Number:7470},,,,,,,,,,,,,5,,,,10,32
68bae466-b615-e911-8106-000c29a8e632 Fifth Edition 1/6/2021 5:00:00 AM,University of Utah,Special Education,Interventions in Schools,SP 6390/7390,Graduate,3,Fifth Edition,1/6/2021,,,,,,,,,4260 BCBA,4260, BCBA,,{Number:SP 6390}{Number:7390},,,,,,,,,,,,,15,,,15,15,
41c982e6-b915-e911-8106-000c29a8e632 Fifth Edition 8/22/2020 4:00:00 AM,University of Utah,Special Education,Schoolwide Positive Behavioral Support,SPED 6650,Graduate,3,Fifth Edition,8/22/2020,,,,,,,,,4260 BCBA,4260, BCBA,,,,,,,,,,,,,,,15,,,15,15,
27594bc5-5018-e911-8106-000c29a8e632 Fifth Edition,University of Missouri St. Louis,Educator Preparation & Leadership,Ethics in Applied Behavior Analysis,6675,Graduate,3,Fifth Edition,,,,,,,,,,51004 BCBA,51004, BCBA,,,,,,,,,,,,,45,,,,,,,
7c566613-fb18-e911-8106-000c29a8e632 Fifth Edition,Capella University,Psychology,Foundations of Applied Behavior Analysis,PSYC4001,Undergraduate,6,Fifth Edition,,,,,,,,,,51018 BCaBA,51018, BCaBA,,,,,,,,,,,,,,,,45,,,,
7ed89f6f-fd18-e911-8106-000c29a8e632 Fifth Edition,Capella University,Psychology,Applied Behavior Analysis Ethics and Supervision,PSYC4002,Undergraduate,6,Fifth Edition,,,,,,,,,,51018 BCaBA,51018, BCaBA,,,,,,,,,,,,,30,,,,,,,15
88f3e682-a919-e911-8106-000c29a8e632 Fifth Edition,University of Miami,Psychology,Concepts and Principles of Applied Behavior Analysis,PSY 666,Graduate,3,Fifth Edition,,,,,,,,,,51005 BCBA,51005, BCBA,,,,,,,,,,,,,,,45,,,,,
e8041f00-ab19-e911-8106-000c29a8e632 Fifth Edition,University of Miami,Psychology,Assessment and Treatment of Langauge and Learning,PSY 667,Graduate,3,Fifth Edition,,,,,,,,,,51005 BCBA,51005, BCBA,,,,,,,,,,,,,,,,,,10,35,
637d2f07-ad19-e911-8106-000c29a8e632 Fifth Edition,University of Miami,Psychology,Functional Assessment and Treatment of Aberrant Behavior,PSY 668,Graduate,3,Fifth Edition,,,,,,,,,,51005 BCBA,51005, BCBA,,,,,,,,,,,,,,,,,,25,20,
598928d2-ad19-e911-8106-000c29a8e632 Fifth Edition,University of Miami,Psychology,Measurement in Applied Behavior Analysis,PSY 663,Graduate,3,Fifth Edition,,,,,,,,,,51005 BCBA,51005, BCBA,,,,,,,,,,,,,,,,,45,,,
786a6b7d-ae19-e911-8106-000c29a8e632 Fifth Edition,University of Miami,Psychology,ETHICS AND PROFESSIONAL CONDUCT IN BEHAVIOR ANALYSIS,PSY 664,Graduate,3,Fifth Edition,,,,,,,,,,51005 BCBA,51005, BCBA,,,,,,,,,,,,,45,,,,,,,
686c5818-af19-e911-8106-000c29a8e632 Fifth Edition,University of Miami,Psychology,ADVANCED CONCEPTS AND PRINCIPLES OF APPLIED BEHAVIOR ANALYSIS,PSY 665,Graduate,3,Fifth Edition,,,,,,,,,,51005 BCBA,51005, BCBA,,,,,,,,,,,,,,15,30,,,,,
ba77ae90-af19-e911-8106-000c29a8e632 Fifth Edition,Capella University,Psychology,Applied Behavior Analysis Research and Interventions,PSYC4003,Undergraduate,6,Fifth Edition,,,,,,,,,,51018 BCaBA,51018, BCaBA,,,,,,,,,,,,,,,,,30,,15,
bb8623de-af19-e911-8106-000c29a8e632 Fifth Edition,University of Miami,Psychology,PROFESSIONAL ISSUES IN DESIGNING AND MONITORING INTERVENTIONS,PSY 669,Graduate,3,Fifth Edition,,,,,,,,,,51005 BCBA,51005, BCBA,,,,,,,,,,,,,,,,,,10,5,30
4a8320c4-9b1a-e911-8106-000c29a8e632 Fifth Edition,University of Missouri St. Louis,Educator Preparation & Leadership,"Research Methods in Applied Behavior Analysis: Measurement, Data Display and Experimental Design",6660,Graduate,3,Fifth Edition,,,,,,,,,,51004 BCBA,51004, BCBA,,,,,,,,,,,,,,,,,45,,,
76117fd2-631b-e911-8106-000c29a8e632 Fifth Edition 1/21/2019 5:00:00 AM,University of Kansas,Behavior Analysis,Within Subjects Research Methodology and Direct Observation,ABSC 770,Graduate,3,Fifth Edition,1/21/2019,5/17/2019,,,,,,,,51017 BCBA,51017, BCBA,,,,,,,,,,,,,,,,,45,,,
7dfd5115-9c1d-e911-8106-000c29a8e632 Fifth Edition,Auburn University,Psychology,Behavior Principles,PSYC 7220,Graduate,3,Fifth Edition,,,,,,,,,,51007 BCBA,51007, BCBA,,,,,,,,,,,,,,,45,,,,,
44feef1d-9d1d-e911-8106-000c29a8e632 Fifth Edition,Auburn University,Psychology,Methods for Studying Individual Behavior,PSYC 7240,Graduate,3,Fifth Edition,,,,,,,,,,51007 BCBA,51007, BCBA,,,,,,,,,,,,,,,,,45,,,
b0696e6e-9e1d-e911-8106-000c29a8e632 Fifth Edition,Auburn University,Psychology,Ethics and Professional Issues in Behavior Analysis,PSYC 7260,Graduate,3,Fifth Edition,,,,,,,,,,51007 BCBA,51007, BCBA,,,,,,,,,,,,,45,,,,,,,
9289a01f-a01d-e911-8106-000c29a8e632 Fifth Edition,Auburn University,Psychology,Applied Behavior Analysis I,PSYC 8550,Graduate,3,Fifth Edition,,,,,,,,,,51007 BCBA,51007, BCBA,,,,,,,,,,,,,,,,,,12,33,
4ff76355-a31d-e911-8106-000c29a8e632 Fifth Edition,Auburn University,Psychology,Applied Behavior Analysis II,PSYC 8570,Graduate,3,Fifth Edition,,,,,,,,,,51007 BCBA,51007, BCBA,,,,,,,,,,,,,,,,,,18,21,
c3e49097-a51d-e911-8106-000c29a8e632 Fifth Edition,Auburn University,Psychology,Behaviorism,PSYC 8540,Graduate,3,Fifth Edition,,,,,,,,,,51007 BCBA,51007, BCBA,,,,,,,,,,,,,,45,,,,,,
9224ec14-a71d-e911-8106-000c29a8e632 Fifth Edition,Auburn University,Psychology,Capstone,PSYC 7980,Graduate,6,Fifth Edition,,,,,,,,,,51007 BCBA,51007, BCBA,,,,,,,,,,,,,,,,,,,,30
d5d5f107-a91d-e911-8106-000c29a8e632 Fifth Edition,Auburn University,Psychology,Autism and Intellectual Disabilities,PSYC 7310,Graduate,3,Fifth Edition,,,,,,,,,,51007 BCBA,51007, BCBA,,,,,,,,,,,,,,,,,,15,15,
ce14fe5b-df37-49fc-a935-9a65ed01dbe6 Fifth Edition,University of Texas at San Antonio,Educational Psychology,Applied Behavior Analysis for Classroom Teachers,EDP 5503,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4522 BCBA,4522, BCBA,,,,,,,,,,,,,,,45,,,,,
e66ac909-e51d-e911-8106-000c29a8e632 Fifth Edition,Capella University,Psychology,Applied Behavior Analysis Behavior-Change Procedures and Interventions,PSYC4005,Undergraduate,6,Fifth Edition,,,,,,,,,,51018 BCaBA,51018, BCaBA,,,,,,,,,,,,,,,,,,,45,
34127285-e41d-e911-8106-000c29a8e632 Fifth Edition,Capella University,Psychology,Applied Behavior Analysis Assessment,PSYC4004,Undergraduate,6,Fifth Edition,,,,,,,,,,51018 BCaBA,51018, BCaBA,,,,,,,,,,,,,,,,,,45,,
dc433ec3-691e-e911-8106-000c29a8e632 Fifth Edition 1/21/2019 5:00:00 AM,University of Kansas,Behavior Analysis,Introduction to Applied Behavioral Science,ABSC 771,Graduate,3,Fifth Edition,1/21/2019,5/17/2019,,,,,,,,51017 BCBA,51017, BCBA,,,,,,,,,,,,,,,,,,,15,
4c7f1fde-801e-e911-8106-000c29a8e632 Fifth Edition 1/21/2019 5:00:00 AM,University of Kansas,Behavior Analysis,Conceptual Foundations of Applied Behavioral Science,ABSC 772,Graduate,3,Fifth Edition,1/21/2019,5/17/2019,,,,,,,,51017 BCBA,51017, BCBA,,,,,,,,,,,,,,45,,,,,,
f3d7246e-8a1e-e911-8106-000c29a8e632 Fifth Edition 1/21/2019 5:00:00 AM,University of Kansas,Behavior Analysis,Behavior Analysis in Complex Organizations,ABSC 773,Graduate,3,Fifth Edition,1/21/2019,5/17/2019,,,,,,,,51017 BCBA,51017, BCBA,,,,,,,,,,,,,,,,,,,,30
d9c52891-921e-e911-8106-000c29a8e632 Fifth Edition 1/21/2019 5:00:00 AM,University of Kansas,Behavior Analysis,"Ethical, Legal, & Professional Issues in Applied Behavioral Science",ABSC 851,Graduate,3,Fifth Edition,1/21/2019,5/17/2019,,,,,,,,51017 BCBA,51017, BCBA,,,,,,,,,,,,,45,,,,,,,
f75012d3-931e-e911-8106-000c29a8e632 Fifth Edition 1/21/2019 5:00:00 AM,University of Kansas,Behavior Analysis,Behavior Analysis in Intellectual & Developmental Disabilities,ABSC 852,Graduate,3,Fifth Edition,1/21/2019,5/17/2019,,,,,,,,51017 BCBA,51017, BCBA,,,,,,,,,,,,,,,,,,20,25,
d5045e42-951e-e911-8106-000c29a8e632 Fifth Edition 1/21/2019 5:00:00 AM,University of Kansas,Behavior Analysis,Functional Behavioral Assessment,ABSC 853,Graduate,3,Fifth Edition,1/21/2019,5/19/2019,,,,,,,,51017 BCBA,51017, BCBA,,,,,,,,,,,,,,,,,,25,20,
0d25e802-8c1e-e911-8106-000c29a8e632 Fifth Edition 1/21/2019 5:00:00 AM,University of Kansas,Behavior Analysis,Principles of Behavior Analysis,ABSC 850,Graduate,3,Fifth Edition,1/21/2019,5/17/2019,,,,,,,,51017 BCBA,51017, BCBA,,,,,,,,,,,,,,,45,,,,,
82ff060c-3323-e911-8106-000c29a8e632 Fifth Edition 7/31/2019 4:00:00 AM,Purdue University Global,Psychology,Ethics for Behavior Analysts,PS507,Graduate,5,Fifth Edition,7/31/2019,,,,,,,,,51025 BCBA,51025, BCBA,,,,,,,,,,,,,50,,,,,,,
34d39071-4b23-e911-8106-000c29a8e632 Fifth Edition 1/6/2021 5:00:00 AM,University of Utah,Special Education,Single Case Research Designs,SPED 7020 / EDPS 7410,Graduate,3,Fifth Edition,1/6/2021,,,,,,,,,4260 BCBA,4260, BCBA,,{Number:SPED 7020}{Number:EDPS 7410},,,,,,,,,,,,,,,45,,,
4bb7fae3-2924-e911-8106-000c29a8e632 Fifth Edition 3/1/2019 5:00:00 AM,Baekseok University,Education,Applied Behavior Analysis I,4571,Graduate,3,Fifth Edition,3/1/2019,2/28/2020,,,,,,,,51008 BCBA,51008, BCBA,,,,,,,,,,,,,,5,20,,,,20,
26c05d61-3024-e911-8106-000c29a8e632 Fifth Edition 3/1/2019 5:00:00 AM,Baekseok University,Education,Concepts and Principles of Behavior Analysis,4572,Graduate,3,Fifth Edition,3/1/2019,2/28/2020,,,,,,,,51008 BCBA,51008, BCBA,,,,,,,,,,,,,,,45,,,,,
f3b430c9-3024-e911-8106-000c29a8e632 Fifth Edition 3/1/2019 5:00:00 AM,Baekseok University,Education,Single Subject Design,4574,Graduate,3,Fifth Edition,3/1/2019,2/28/2020,,,,,,,,51008 BCBA,51008, BCBA,,,,,,,,,,,,,,,,,45,,,
5996d561-3124-e911-8106-000c29a8e632 Fifth Edition 3/1/2019 5:00:00 AM,Baekseok University,Education,Ethics for Behavior Analyst,4575,Graduate,3,Fifth Edition,3/1/2019,2/28/2020,,,,,,,,51008 BCBA,51008, BCBA,,,,,,,,,,,,,45,,,,,,,
831c30bd-3124-e911-8106-000c29a8e632 Fifth Edition 3/1/2019 5:00:00 AM,Baekseok University,Education,Applied Behavior Analysis II,4578,Graduate,3,Fifth Edition,3/1/2019,2/28/2020,,,,,,,,51008 BCBA,51008, BCBA,,,,,,,,,,,,,,12,8,,,,25,
fcfbf45c-3324-e911-8106-000c29a8e632 Fifth Edition 3/1/2019 5:00:00 AM,Baekseok University,Education,Functional Behavior Assessment and Function-Based Intervention,4579,Graduate,3,Fifth Edition,3/1/2019,2/28/2020,,,,,,,,51008 BCBA,51008, BCBA,,,,,,,,,,,,,,,,,,45,,
9c26b2c7-3324-e911-8106-000c29a8e632 Fifth Edition 3/1/2019 5:00:00 AM,Baekseok University,Education,Applied Behavior Analysis III: Procedures and Management,5347,Graduate,3,Fifth Edition,3/1/2019,2/28/2020,,,,,,,,51008 BCBA,51008, BCBA,,,,,,,,,,,,,,,,,,,15,30
89f0f757-4126-e911-8106-000c29a8e632 Fifth Edition,Eastern Connecticut State University,Psychology,Supervision & Performance Management,PSY 225,Undergraduate,1,Fifth Edition,,,,,,,,,,4092 BCaBA,4092, BCaBA,,,,,,,,,,,,,,,,,,,,15
4742b20e-4b23-e911-8106-000c29a8e632 Fifth Edition 7/31/2019 4:00:00 AM,Purdue University Global,Psychology,"Clinical Applications, Supervision, & Management",PS564,Graduate,5,Fifth Edition,7/31/2019,,,,,,,,,51025 BCBA,51025, BCBA,,,,,,,,,,,,,,5,,,,,15,30
4e0f02f1-c80e-e911-8106-000c29a8e632 Fifth Edition 7/31/2019 4:00:00 AM,Purdue University Global,Psychology,Principles of Applied Behavior Analysis,PS560,Graduate,5,Fifth Edition,7/31/2019,,,,,,,,,51025 BCBA,51025, BCBA,,,,,,,,,,,,,,10,45,,,,,
dc059780-3623-e911-8106-000c29a8e632 Fifth Edition 7/31/2019 4:00:00 AM,Purdue University Global,Psychology,Concepts of Measurement and Experimental Designs,PS561,Graduate,5,Fifth Edition,7/31/2019,,,,,,,,,51025 BCBA,51025, BCBA,,,,,,,,,,,,,,10,,,45,,,
c8d68741-3b23-e911-8106-000c29a8e632 Fifth Edition 7/31/2019 4:00:00 AM,Purdue University Global,Psychology,Assessment in Applied Behavior Analysis,PS562,Graduate,5,Fifth Edition,7/31/2019,,,,,,,,,51025 BCBA,51025, BCBA,,,,,,,,,,,,,,4,6,,,45,,
f5849919-4a23-e911-8106-000c29a8e632 Fifth Edition 7/31/2019 4:00:00 AM,Purdue University Global,Psychology,Implementing Procedures for Behavior Change,PS563,Graduate,5,Fifth Edition,7/31/2019,,,,,,,,,51025 BCBA,51025, BCBA,,,,,,,,,,,,,,,10,,,,45,
67db85ce-5b2a-e911-8106-000c29a8e632 Fifth Edition 8/23/2019 4:00:00 AM,Webster University,Special Education,Introduction to Applied Behavior Analysis,SPED 5890,Graduate,3,Fifth Edition,8/23/2019,10/18/2019,,,,,,,,51012 BCBA,51012, BCBA,,,,,,,,,,,,,,48,,,,,,
b9e025d9-762a-e911-8106-000c29a8e632 Fifth Edition 1/10/2020 5:00:00 AM,Webster University,Special Education,Behavior Change Procedure,SPED 5901,Graduate,3,Fifth Edition,1/10/2020,3/6/2020,,,,,,,,51012 BCBA,51012, BCBA,,,,,,,,,,,,,,,,,,14,34,
8d4575f4-ce2b-e911-8106-000c29a8e632 Fifth Edition 1/13/2020 5:00:00 AM,Saint Cloud State University,"Community Psychology, Counseling, and Family Therapy",Behavioral Applications I,ABA 633,Graduate,3,Fifth Edition,1/13/2020,,,,,,,,,51082 BCBA,51082, BCBA,,,,,,,,,,,,,,,,,,,30,15
0aae8626-cf2b-e911-8106-000c29a8e632 Fifth Edition 8/26/2019 4:00:00 AM,Saint Cloud State University,"Community Psychology, Counseling, and Family Therapy",Behavioral Assessment,ABA 634,Graduate,3,Fifth Edition,8/26/2019,,,,,,,,,51082 BCBA,51082, BCBA,,,,,,,,,,,,,,,,,,45,,
a63c3d6b-cf2b-e911-8106-000c29a8e632 Fifth Edition 8/26/2019 4:00:00 AM,Saint Cloud State University,"Community Psychology, Counseling, and Family Therapy",Behavioral Applications II,ABA 635,Graduate,3,Fifth Edition,8/26/2019,,,,,,,,,51082 BCBA,51082, BCBA,,,,,,,,,,,,,,,,,,,30,15
2d5be39c-cf2b-e911-8106-000c29a8e632 Fifth Edition 5/20/2019 4:00:00 AM,Saint Cloud State University,"Community Psychology, Counseling, and Family Therapy",Ethics in Psychology and Behavior Analysis,ABA 636,Graduate,3,Fifth Edition,5/20/2019,,,,,,,,,51082 BCBA,51082, BCBA,,,,,,,,,,,,,45,,,,,,,
e1760119-d02b-e911-8106-000c29a8e632 Fifth Edition 1/13/2020 5:00:00 AM,Saint Cloud State University,"Community Psychology, Counseling, and Family Therapy",Single-Case Design,ABA 641,Graduate,3,Fifth Edition,1/13/2020,,,,,,,,,51082 BCBA,51082, BCBA,,,,,,,,,,,,,,,,,45,,,
7a9f4cc4-ce2b-e911-8106-000c29a8e632 Fifth Edition 8/26/2019 4:00:00 AM,Saint Cloud State University,"Community Psychology, Counseling, and Family Therapy",Advanced Applied Behavior Analysis,ABA 630,Graduate,3,Fifth Edition,8/26/2019,,,,,,,,,51082 BCBA,51082, BCBA,,,,,,,,,,,,,,6,39,,,,,
b896cdbd-d52b-e911-8106-000c29a8e632 Fifth Edition,Franciscan Missionaries of Our Lady University,Psychology,Behavior Analysis,PSYC 2350,Undergraduate,3,Fifth Edition,,,,,,,,,,51009 BCaBA,51009, BCaBA,,,,,,,,,,,,,,15,30,,,,,
4afed174-8d2e-e911-8106-000c29a8e632 Fifth Edition,University of Missouri St. Louis,Educator Preparation & Leadership,Advanced Concepts and Principles  of Applied Behavior Analysis,6630,Graduate,3,Fifth Edition,,,,,,,,,,51004 BCBA,51004, BCBA,,,,,,,,,,,,,,,45,,,,,
ad3dc8f6-8f2e-e911-8106-000c29a8e632 Fifth Edition,University of Missouri St. Louis,Educator Preparation & Leadership,Behavior Assessment,6439,Graduate,3,Fifth Edition,,,,,,,,,,51004 BCBA,51004, BCBA,,,,,,,,,,,,,,,,,,45,,
3ae3756a-f22e-e911-8106-000c29a8e632 Fifth Edition 8/19/2019 4:00:00 AM,Central Methodist University,Psychology,Introduction to Applied Behavior Analysis,BH 321,Undergraduate,3,Fifth Edition,8/19/2019,10/14/2019,,,,,,,,51015 BCaBA,51015, BCaBA,,,,,,,,,,,,,,3,42,,,,,
8218bf9f-f42e-e911-8106-000c29a8e632 Fifth Edition 8/19/2019 4:00:00 AM,Central Methodist University,Psychology,Professsionalism in Applied Behavior Analysis,BH325,Undergraduate,2,Fifth Edition,8/19/2019,10/11/2019,,,,,,,,51015 BCaBA,51015, BCaBA,,,,,,,,,,,,,30,,,,,,,
9d76a643-f52e-e911-8106-000c29a8e632 Fifth Edition 10/14/2019 4:00:00 AM,Central Methodist University,Psychology,Behavioral Assessment,BH421,Undergraduate,3,Fifth Edition,10/14/2019,12/13/2019,,,,,,,,51015 BCaBA,51015, BCaBA,,,,,,,,,,,,,,,,,,45,,
50e32ea1-f52e-e911-8106-000c29a8e632 Fifth Edition 1/20/2020 5:00:00 AM,Central Methodist University,Psychology,Behavior Change Procedures,BH423,Undergraduate,4,Fifth Edition,1/20/2020,3/20/2020,,,,,,,,51015 BCaBA,51015, BCaBA,,,,,,,,,,,,,,,,,,,60,
